,INPUT,OUTPUT,IN_PACKETS,IN_OCTETS,TCP_FLAGS,PROTO,TOS,SRC_AS,DST_AS,SRC_MASK,DST_MASK
0,0,8,1,91,0,17,192,0,0,0,0
1,0,8,1,91,0,17,192,0,0,0,0
2,0,8,5,400,64,6,192,0,0,0,0
3,0,8,1,91,0,17,192,0,0,0,0
4,8,0,1,62,0,17,0,0,0,0,0
5,0,8,1,62,0,17,0,0,0,0,0
6,0,8,5,400,65,6,192,0,0,0,0
7,0,8,4,320,2,6,192,0,0,0,0
8,8,0,1,63,0,17,0,0,0,0,0
9,8,0,1,63,0,17,0,0,0,0,0
10,8,0,1,65,0,17,0,0,0,0,0
11,0,8,1,79,0,17,0,0,0,0,0
12,8,0,1,65,0,17,0,0,0,0,0
13,8,0,1,66,0,17,0,0,0,0,0
14,8,0,1,66,0,17,0,0,0,0,0
15,0,8,1,63,0,17,0,0,0,0,0
16,8,0,1,63,0,17,0,0,0,0,0
17,0,8,1,65,0,17,0,0,0,0,0
18,0,8,1,93,0,17,192,0,0,0,0
19,0,8,1,65,0,17,0,0,0,0,0
20,0,8,1,66,0,17,0,0,0,0,0
21,0,8,1,66,0,17,0,0,0,0,0
22,0,8,1,63,0,17,0,0,0,0,0
23,0,8,5,400,198,6,192,0,0,0,0
24,0,8,3,288,0,17,192,0,0,0,0
25,0,8,3,288,0,17,192,0,0,0,0
26,8,0,1,76,0,17,0,0,0,0,0
27,8,0,1,76,0,17,0,0,0,0,0
28,0,8,1,76,0,17,0,0,0,0,0
29,0,8,1,76,0,17,0,0,0,0,0
30,8,0,1,63,0,17,0,0,0,0,0
31,0,8,1,63,0,17,0,0,0,0,0
32,0,8,1,91,0,17,192,0,0,0,0
33,8,0,1,65,0,17,0,0,0,0,0
34,8,0,1,65,0,17,0,0,0,0,0
35,8,0,1,66,0,17,0,0,0,0,0
36,8,0,1,66,0,17,0,0,0,0,0
37,0,8,1,65,0,17,0,0,0,0,0
38,0,8,1,93,0,17,192,0,0,0,0
39,0,8,1,65,0,17,0,0,0,0,0
40,0,8,1,93,0,17,192,0,0,0,0
41,0,8,1,66,0,17,0,0,0,0,0
42,0,8,1,66,0,17,0,0,0,0,0
43,0,8,1,159,0,17,192,0,0,0,0
44,0,8,1,91,0,17,192,0,0,0,0
45,0,8,3,273,0,17,192,0,0,0,0
46,0,8,1,69,182,6,192,0,0,0,0
47,8,0,1,65,0,17,0,0,0,0,0
48,8,0,1,66,0,17,0,0,0,0,0
49,0,8,1,65,0,17,0,0,0,0,0
50,0,8,1,66,0,17,0,0,0,0,0
51,0,8,5,400,242,6,192,0,0,0,0
52,0,8,1,90,0,17,192,0,0,0,0
53,0,8,2,180,0,17,192,0,0,0,0
54,8,0,1,62,0,17,0,0,0,0,0
55,0,8,1,78,0,17,0,0,0,0,0
56,0,8,2,188,0,17,192,0,0,0,0
57,0,8,4,320,163,6,192,0,0,0,0
58,0,8,4,320,164,6,192,0,0,0,0
59,8,0,1,83,0,17,0,0,0,0,0
60,0,8,1,83,0,17,0,0,0,0,0
61,0,8,5,400,71,6,192,0,0,0,0
62,8,0,1,66,0,17,0,0,0,0,0
63,8,0,1,66,0,17,0,0,0,0,0
64,0,8,1,66,0,17,0,0,0,0,0
65,0,8,1,94,0,17,192,0,0,0,0
66,0,8,1,66,0,17,0,0,0,0,0
67,8,0,1,73,0,17,0,0,0,0,0
68,8,0,1,73,0,17,0,0,0,0,0
69,0,8,1,89,0,17,0,0,0,0,0
70,0,8,1,73,0,17,0,0,0,0,0
71,8,0,1,73,0,17,0,0,0,0,0
72,0,8,1,73,0,17,0,0,0,0,0
73,0,8,1,101,0,17,192,0,0,0,0
74,0,8,1,94,0,17,192,0,0,0,0
75,0,8,1,159,0,17,192,0,0,0,0
76,0,8,4,320,123,6,192,0,0,0,0
77,0,8,2,188,0,17,192,0,0,0,0
78,0,8,3,279,0,17,192,0,0,0,0
79,0,8,2,186,0,17,192,0,0,0,0
80,8,0,1,66,0,17,0,0,0,0,0
81,8,0,1,66,0,17,0,0,0,0,0
82,0,8,1,66,0,17,0,0,0,0,0
83,0,8,1,66,0,17,0,0,0,0,0
84,0,8,4,320,47,6,192,0,0,0,0
85,0,8,5,400,92,6,192,0,0,0,0
86,0,8,4,320,48,6,192,0,0,0,0
87,8,0,213,75552,0,17,192,0,0,0,0
88,0,8,2,222,0,17,192,0,0,0,0
89,0,8,2,222,0,17,192,0,0,0,0
90,0,8,1,90,0,17,192,0,0,0,0
91,0,8,1,94,0,17,192,0,0,0,0
92,0,8,1,94,0,17,192,0,0,0,0
93,0,8,1,90,0,17,192,0,0,0,0
94,0,8,1,94,0,17,192,0,0,0,0
95,0,8,1,94,0,17,192,0,0,0,0
96,0,8,1,159,0,17,192,0,0,0,0
97,0,8,4,320,213,6,192,0,0,0,0
98,0,8,4,320,214,6,192,0,0,0,0
99,0,8,1,90,0,17,192,0,0,0,0
100,0,8,1,94,0,17,192,0,0,0,0
101,0,8,1,94,0,17,192,0,0,0,0
102,0,8,1,88,157,6,192,0,0,0,0
103,8,0,1,72,0,17,0,0,0,0,0
104,0,8,1,128,0,17,0,0,0,0,0
105,8,0,1,72,0,17,0,0,0,0,0
106,0,8,1,72,0,17,0,0,0,0,0
107,0,8,1,100,0,17,192,0,0,0,0
108,0,8,1,100,0,17,192,0,0,0,0
109,0,8,1,91,0,17,192,0,0,0,0
110,0,8,1,90,0,17,192,0,0,0,0
111,0,8,1,90,0,17,192,0,0,0,0
112,0,8,5,400,124,6,192,0,0,0,0
113,8,0,1,63,0,17,0,0,0,0,0
114,0,8,1,63,0,17,0,0,0,0,0
115,8,0,1,63,0,17,0,0,0,0,0
116,0,8,1,63,0,17,0,0,0,0,0
117,0,8,1,91,0,17,192,0,0,0,0
118,8,0,1,63,0,17,0,0,0,0,0
119,0,8,1,91,0,17,192,0,0,0,0
120,0,8,1,63,0,17,0,0,0,0,0
121,0,8,1,91,0,17,192,0,0,0,0
122,8,0,1,63,0,17,0,0,0,0,0
123,0,8,1,63,0,17,0,0,0,0,0
124,8,0,1,63,0,17,0,0,0,0,0
125,8,0,1,63,0,17,0,0,0,0,0
126,0,8,1,63,0,17,0,0,0,0,0
127,0,8,1,63,0,17,0,0,0,0,0
128,0,8,1,91,0,17,192,0,0,0,0
129,0,8,5,400,68,6,192,0,0,0,0
130,0,8,1,159,0,17,192,0,0,0,0
131,8,0,1,62,0,17,0,0,0,0,0
132,0,8,1,78,0,17,0,0,0,0,0
133,0,8,1,90,0,17,192,0,0,0,0
134,8,0,1,63,0,17,0,0,0,0,0
135,8,0,1,63,0,17,0,0,0,0,0
136,0,8,1,63,0,17,0,0,0,0,0
137,0,8,1,63,0,17,0,0,0,0,0
138,8,0,1,63,0,17,0,0,0,0,0
139,0,8,1,63,0,17,0,0,0,0,0
140,8,0,1,63,0,17,0,0,0,0,0
141,8,0,1,63,0,17,0,0,0,0,0
142,0,8,1,63,0,17,0,0,0,0,0
143,0,8,1,63,0,17,0,0,0,0,0
144,8,0,1,63,0,17,0,0,0,0,0
145,0,8,1,63,0,17,0,0,0,0,0
146,0,8,2,160,133,6,192,0,0,0,0
147,0,8,2,160,68,6,192,0,0,0,0
148,0,8,1,91,0,17,192,0,0,0,0
149,0,8,1,91,0,17,192,0,0,0,0
150,0,8,1,91,0,17,192,0,0,0,0
151,0,8,1,91,0,17,192,0,0,0,0
152,0,8,1,91,0,17,192,0,0,0,0
153,8,0,1,65,0,17,0,0,0,0,0
154,0,8,1,93,0,17,192,0,0,0,0
155,0,8,1,65,0,17,0,0,0,0,0
156,8,0,1,63,0,17,0,0,0,0,0
157,0,8,1,63,0,17,0,0,0,0,0
158,0,8,1,159,0,17,192,0,0,0,0
159,8,0,1,63,0,17,0,0,0,0,0
160,8,0,1,63,0,17,0,0,0,0,0
161,0,8,1,63,0,17,0,0,0,0,0
162,0,8,1,63,0,17,0,0,0,0,0
163,0,8,4,320,169,6,192,0,0,0,0
164,8,0,1,63,0,17,0,0,0,0,0
165,8,0,1,63,0,17,0,0,0,0,0
166,0,8,1,63,0,17,0,0,0,0,0
167,0,8,1,63,0,17,0,0,0,0,0
168,0,8,1,93,0,17,192,0,0,0,0
169,0,8,1,93,0,17,192,0,0,0,0
170,8,0,1,65,0,17,0,0,0,0,0
171,8,0,1,65,0,17,0,0,0,0,0
172,0,8,1,65,0,17,0,0,0,0,0
173,0,8,1,65,0,17,0,0,0,0,0
174,8,0,1,62,0,17,0,0,0,0,0
175,0,8,1,78,0,17,0,0,0,0,0
176,0,8,4,320,130,6,192,0,0,0,0
177,0,8,3,273,0,17,192,0,0,0,0
178,0,8,3,273,0,17,192,0,0,0,0
179,8,0,1,65,0,17,0,0,0,0,0
180,0,8,1,65,0,17,0,0,0,0,0
181,0,8,3,240,97,6,192,0,0,0,0
182,0,8,3,240,138,6,192,0,0,0,0
183,0,8,1,159,0,17,192,0,0,0,0
184,0,8,1,80,204,6,192,0,0,0,0
185,0,8,1,91,0,17,192,0,0,0,0
186,0,8,1,91,0,17,192,0,0,0,0
187,8,0,1,63,0,17,0,0,0,0,0
188,8,0,1,63,0,17,0,0,0,0,0
189,0,8,1,79,0,17,0,0,0,0,0
190,0,8,1,63,0,17,0,0,0,0,0
191,0,8,3,240,5,6,192,0,0,0,0
192,0,8,3,279,0,17,192,0,0,0,0
193,0,8,3,279,0,17,192,0,0,0,0
194,8,0,1,63,0,17,0,0,0,0,0
195,0,8,1,63,0,17,0,0,0,0,0
196,8,0,1,63,0,17,0,0,0,0,0
197,8,0,1,63,0,17,0,0,0,0,0
198,0,8,1,63,0,17,0,0,0,0,0
199,0,8,1,63,0,17,0,0,0,0,0
200,0,8,1,91,0,17,192,0,0,0,0
201,0,8,1,91,0,17,192,0,0,0,0
202,0,8,4,320,250,6,192,0,0,0,0
203,0,8,5,400,173,6,192,0,0,0,0
204,0,8,3,240,251,6,192,0,0,0,0
205,0,8,4,320,174,6,192,0,0,0,0
206,0,8,1,91,0,17,192,0,0,0,0
207,0,8,1,91,0,17,192,0,0,0,0
208,0,8,1,159,0,17,192,0,0,0,0
209,0,8,1,93,0,17,192,0,0,0,0
210,0,8,1,93,0,17,192,0,0,0,0
211,8,0,1,63,0,17,0,0,0,0,0
212,8,0,1,63,0,17,0,0,0,0,0
213,0,8,1,63,0,17,0,0,0,0,0
214,0,8,1,63,0,17,0,0,0,0,0
215,8,0,1,65,0,17,0,0,0,0,0
216,8,0,1,65,0,17,0,0,0,0,0
217,0,8,1,65,0,17,0,0,0,0,0
218,0,8,1,65,0,17,0,0,0,0,0
219,0,8,1,91,0,17,192,0,0,0,0
220,0,8,1,93,0,17,192,0,0,0,0
221,0,8,1,93,0,17,192,0,0,0,0
222,0,8,1,91,0,17,192,0,0,0,0
223,0,8,1,93,0,17,192,0,0,0,0
224,0,8,1,93,0,17,192,0,0,0,0
225,0,8,1,91,0,17,192,0,0,0,0
226,0,8,1,69,183,6,192,0,0,0,0
227,0,8,1,91,0,17,192,0,0,0,0
228,8,0,1,63,0,17,0,0,0,0,0
229,0,8,1,91,0,17,192,0,0,0,0
230,0,8,1,63,0,17,0,0,0,0,0
231,0,8,1,91,0,17,192,0,0,0,0
232,8,0,1,65,0,17,0,0,0,0,0
233,8,0,1,65,0,17,0,0,0,0,0
234,0,8,1,65,0,17,0,0,0,0,0
235,0,8,1,65,0,17,0,0,0,0,0
236,8,0,1,63,0,17,0,0,0,0,0
237,0,8,1,63,0,17,0,0,0,0,0
238,8,0,1,63,0,17,0,0,0,0,0
239,0,8,1,63,0,17,0,0,0,0,0
240,0,8,1,93,0,17,192,0,0,0,0
241,0,8,1,93,0,17,192,0,0,0,0
242,8,0,1,63,0,17,0,0,0,0,0
243,0,8,1,63,0,17,0,0,0,0,0
244,8,0,1,63,0,17,0,0,0,0,0
245,0,8,1,63,0,17,0,0,0,0,0
246,0,8,1,91,0,17,192,0,0,0,0
247,0,8,1,159,0,17,192,0,0,0,0
248,0,8,1,91,0,17,192,0,0,0,0
249,0,8,1,91,0,17,192,0,0,0,0
250,0,8,2,160,71,6,192,0,0,0,0
251,8,0,1,62,0,17,0,0,0,0,0
252,0,8,1,78,0,17,0,0,0,0,0
253,8,0,1,63,0,17,0,0,0,0,0
254,8,0,1,63,0,17,0,0,0,0,0
255,0,8,1,63,0,17,0,0,0,0,0
256,0,8,1,63,0,17,0,0,0,0,0
257,0,8,4,320,182,6,192,0,0,0,0
258,0,8,1,91,0,17,192,0,0,0,0
259,0,8,1,91,0,17,192,0,0,0,0
260,0,8,3,240,183,6,192,0,0,0,0
261,0,8,3,240,181,6,192,0,0,0,0
262,0,8,3,240,184,6,192,0,0,0,0
263,0,8,3,273,0,17,192,0,0,0,0
264,0,8,3,273,0,17,192,0,0,0,0
265,8,0,1,63,0,17,0,0,0,0,0
266,8,0,1,63,0,17,0,0,0,0,0
267,8,0,1,63,0,17,0,0,0,0,0
268,8,0,1,63,0,17,0,0,0,0,0
269,0,8,1,63,0,17,0,0,0,0,0
270,0,8,1,63,0,17,0,0,0,0,0
271,0,8,1,63,0,17,0,0,0,0,0
272,0,8,1,63,0,17,0,0,0,0,0
273,0,8,1,91,0,17,192,0,0,0,0
274,0,8,1,91,0,17,192,0,0,0,0
275,8,0,1,63,0,17,0,0,0,0,0
276,0,8,1,63,0,17,0,0,0,0,0
277,0,8,3,240,134,6,192,0,0,0,0
278,0,8,1,159,0,17,192,0,0,0,0
279,8,0,1,63,0,17,0,0,0,0,0
280,8,0,1,63,0,17,0,0,0,0,0
281,0,8,1,63,0,17,0,0,0,0,0
282,0,8,1,63,0,17,0,0,0,0,0
283,8,0,1,63,0,17,0,0,0,0,0
284,0,8,1,63,0,17,0,0,0,0,0
285,0,8,1,91,0,17,192,0,0,0,0
286,0,8,3,240,86,6,192,0,0,0,0
287,0,8,1,80,75,6,192,0,0,0,0
288,8,0,1,63,0,17,0,0,0,0,0
289,0,8,1,63,0,17,0,0,0,0,0
290,8,0,1,63,0,17,0,0,0,0,0
291,0,8,1,63,0,17,0,0,0,0,0
292,0,8,1,91,0,17,192,0,0,0,0
293,0,8,1,91,0,17,192,0,0,0,0
294,0,8,3,273,0,17,192,0,0,0,0
295,0,8,3,273,0,17,192,0,0,0,0
296,8,0,1,63,0,17,0,0,0,0,0
297,0,8,1,63,0,17,0,0,0,0,0
298,0,8,1,159,0,17,192,0,0,0,0
299,0,8,1,91,0,17,192,0,0,0,0
300,0,8,1,91,0,17,192,0,0,0,0
301,0,8,1,91,0,17,192,0,0,0,0
302,0,8,1,91,0,17,192,0,0,0,0
303,0,8,1,91,0,17,192,0,0,0,0
304,8,0,1,63,0,17,0,0,0,0,0
305,0,8,1,63,0,17,0,0,0,0,0
306,0,8,1,91,0,17,192,0,0,0,0
307,0,8,1,91,0,17,192,0,0,0,0
308,0,8,4,320,133,6,192,0,0,0,0
309,8,0,1,63,0,17,0,0,0,0,0
310,0,8,1,63,0,17,0,0,0,0,0
311,0,8,1,91,0,17,192,0,0,0,0
312,0,8,1,91,0,17,192,0,0,0,0
313,0,8,1,91,0,17,192,0,0,0,0
314,8,0,1,63,0,17,0,0,0,0,0
315,0,8,1,63,0,17,0,0,0,0,0
316,0,8,1,91,0,17,192,0,0,0,0
317,0,8,1,93,0,17,192,0,0,0,0
318,0,8,1,93,0,17,192,0,0,0,0
319,0,8,1,91,0,17,192,0,0,0,0
320,0,8,1,91,0,17,192,0,0,0,0
321,8,0,1,63,0,17,0,0,0,0,0
322,8,0,1,63,0,17,0,0,0,0,0
323,0,8,1,63,0,17,0,0,0,0,0
324,0,8,1,63,0,17,0,0,0,0,0
325,8,0,1,65,0,17,0,0,0,0,0
326,8,0,1,65,0,17,0,0,0,0,0
327,0,8,1,65,0,17,0,0,0,0,0
328,0,8,1,65,0,17,0,0,0,0,0
329,8,0,1,63,0,17,0,0,0,0,0
330,8,0,1,63,0,17,0,0,0,0,0
331,8,0,1,63,0,17,0,0,0,0,0
332,0,8,1,63,0,17,0,0,0,0,0
333,0,8,1,63,0,17,0,0,0,0,0
334,0,8,1,63,0,17,0,0,0,0,0
335,0,8,1,159,0,17,192,0,0,0,0
336,0,8,1,91,0,17,192,0,0,0,0
337,8,0,1,63,0,17,0,0,0,0,0
338,0,8,1,63,0,17,0,0,0,0,0
339,8,0,1,63,0,17,0,0,0,0,0
340,8,0,1,63,0,17,0,0,0,0,0
341,8,0,1,63,0,17,0,0,0,0,0
342,0,8,1,63,0,17,0,0,0,0,0
343,0,8,1,79,0,17,0,0,0,0,0
344,0,8,1,63,0,17,0,0,0,0,0
345,8,0,1,65,0,17,0,0,0,0,0
346,8,0,1,65,0,17,0,0,0,0,0
347,0,8,1,65,0,17,0,0,0,0,0
348,0,8,1,65,0,17,0,0,0,0,0
349,8,0,1,63,0,17,0,0,0,0,0
350,0,8,1,63,0,17,0,0,0,0,0
351,0,8,1,91,0,17,192,0,0,0,0
352,8,0,1,63,0,17,0,0,0,0,0
353,0,8,1,63,0,17,0,0,0,0,0
354,0,8,1,93,0,17,192,0,0,0,0
355,8,0,4,220,2,6,0,0,0,0,0
356,0,8,1,93,0,17,192,0,0,0,0
357,0,8,1,91,0,17,192,0,0,0,0
358,0,8,1,93,0,17,192,0,0,0,0
359,8,0,1,65,0,17,0,0,0,0,0
360,0,8,1,65,0,17,0,0,0,0,0
361,8,0,1,65,0,17,0,0,0,0,0
362,0,8,1,65,0,17,0,0,0,0,0
363,0,8,1,90,0,17,192,0,0,0,0
364,0,8,1,91,0,17,192,0,0,0,0
365,8,0,1,63,0,17,0,0,0,0,0
366,8,0,1,63,0,17,0,0,0,0,0
367,0,8,1,63,0,17,0,0,0,0,0
368,0,8,1,63,0,17,0,0,0,0,0
369,0,8,1,80,212,6,192,0,0,0,0
370,0,8,1,159,0,17,192,0,0,0,0
371,0,8,1,91,0,17,192,0,0,0,0
372,0,8,1,91,0,17,192,0,0,0,0
373,0,8,1,91,0,17,192,0,0,0,0
374,0,8,1,91,0,17,192,0,0,0,0
375,0,8,3,273,0,17,192,0,0,0,0
376,0,8,3,273,0,17,192,0,0,0,0
377,8,0,1,63,0,17,0,0,0,0,0
378,8,0,1,63,0,17,0,0,0,0,0
379,0,8,1,63,0,17,0,0,0,0,0
380,0,8,1,63,0,17,0,0,0,0,0
381,8,0,1,63,0,17,0,0,0,0,0
382,8,0,1,63,0,17,0,0,0,0,0
383,0,8,1,63,0,17,0,0,0,0,0
384,0,8,1,63,0,17,0,0,0,0,0
385,0,8,1,91,0,17,192,0,0,0,0
386,0,8,1,91,0,17,192,0,0,0,0
387,0,8,1,91,0,17,192,0,0,0,0
388,0,8,1,92,116,6,192,0,0,0,0
389,8,0,1,72,0,17,0,0,0,0,0
390,0,8,1,128,0,17,0,0,0,0,0
391,8,0,1,72,0,17,0,0,0,0,0
392,0,8,1,72,0,17,0,0,0,0,0
393,0,8,1,100,0,17,192,0,0,0,0
394,0,8,4,320,77,6,192,0,0,0,0
395,0,8,1,91,0,17,192,0,0,0,0
396,8,0,1,63,0,17,0,0,0,0,0
397,8,0,1,63,0,17,0,0,0,0,0
398,0,8,1,63,0,17,0,0,0,0,0
399,0,8,1,63,0,17,0,0,0,0,0
400,8,0,1,63,0,17,0,0,0,0,0
401,0,8,1,63,0,17,0,0,0,0,0
402,0,8,4,320,210,6,192,0,0,0,0
403,0,8,1,159,0,17,192,0,0,0,0
404,0,8,3,240,203,6,192,0,0,0,0
405,0,8,3,240,204,6,192,0,0,0,0
406,0,8,3,273,0,17,192,0,0,0,0
407,0,8,3,273,0,17,192,0,0,0,0
408,8,0,1,344,0,17,0,0,0,0,0
409,0,8,1,69,184,6,192,0,0,0,0
410,0,8,1,159,0,17,192,0,0,0,0
411,0,8,3,240,215,6,192,0,0,0,0
412,0,8,3,240,211,6,192,0,0,0,0
413,0,8,3,240,213,6,192,0,0,0,0
414,0,8,1,94,0,17,192,0,0,0,0
415,0,8,1,94,0,17,192,0,0,0,0
416,0,8,2,160,104,6,192,0,0,0,0
417,0,8,1,91,0,17,192,0,0,0,0
418,0,8,1,91,0,17,192,0,0,0,0
419,0,8,1,90,0,17,192,0,0,0,0
420,0,8,1,90,0,17,192,0,0,0,0
421,8,0,1,66,0,17,0,0,0,0,0
422,8,0,1,66,0,17,0,0,0,0,0
423,0,8,1,66,0,17,0,0,0,0,0
424,0,8,1,66,0,17,0,0,0,0,0
425,0,8,2,160,238,6,192,0,0,0,0
426,0,8,2,160,176,6,192,0,0,0,0
427,8,0,1,63,0,17,0,0,0,0,0
428,8,0,1,63,0,17,0,0,0,0,0
429,0,8,1,63,0,17,0,0,0,0,0
430,0,8,1,63,0,17,0,0,0,0,0
431,8,0,1,62,0,17,0,0,0,0,0
432,0,8,1,78,0,17,0,0,0,0,0
433,0,8,1,91,0,17,192,0,0,0,0
434,0,8,1,91,0,17,192,0,0,0,0
435,8,0,1,62,0,17,0,0,0,0,0
436,0,8,1,78,0,17,0,0,0,0,0
437,0,8,1,90,0,17,192,0,0,0,0
438,8,0,1,63,0,17,0,0,0,0,0
439,8,0,1,63,0,17,0,0,0,0,0
440,0,8,1,63,0,17,0,0,0,0,0
441,0,8,1,63,0,17,0,0,0,0,0
442,0,8,1,90,0,17,192,0,0,0,0
443,0,8,1,91,0,17,192,0,0,0,0
444,8,0,1,63,0,17,0,0,0,0,0
445,8,0,1,63,0,17,0,0,0,0,0
446,0,8,1,63,0,17,0,0,0,0,0
447,0,8,1,63,0,17,0,0,0,0,0
448,0,8,1,159,0,17,192,0,0,0,0
449,8,0,1,68,0,17,0,0,0,0,0
450,0,8,1,68,0,17,0,0,0,0,0
451,0,8,1,96,0,17,192,0,0,0,0
452,0,8,1,80,157,6,192,0,0,0,0
453,0,8,2,160,150,6,192,0,0,0,0
454,0,8,1,96,0,17,192,0,0,0,0
455,8,0,1,63,0,17,0,0,0,0,0
456,0,8,1,63,0,17,0,0,0,0,0
457,0,8,9,448,18,6,0,0,0,0,0
458,0,8,1,91,0,17,192,0,0,0,0
459,0,8,2,160,146,6,192,0,0,0,0
460,0,8,3,240,76,6,192,0,0,0,0
461,8,0,1,68,0,17,0,0,0,0,0
462,0,8,1,68,0,17,0,0,0,0,0
463,0,8,1,93,0,17,192,0,0,0,0
464,0,8,1,93,0,17,192,0,0,0,0
465,0,8,3,240,194,6,192,0,0,0,0
466,8,0,1,65,0,17,0,0,0,0,0
467,8,0,1,65,0,17,0,0,0,0,0
468,0,8,1,65,0,17,0,0,0,0,0
469,0,8,1,65,0,17,0,0,0,0,0
470,0,8,1,159,0,17,192,0,0,0,0
471,0,8,1,80,167,6,192,0,0,0,0
472,0,8,1,80,168,6,192,0,0,0,0
473,0,8,1,93,0,17,192,0,0,0,0
474,0,8,1,93,0,17,192,0,0,0,0
